,actor_id,first_name,last_name,film_info
10,11,ZERO,CAGE,"Action: DANCES NONE, HANDICAP BOONDOCK, STORY SIDE; Animation: CANYON STOCK, HORN WORKING; Children: JERSEY SASSY, TOOTSIE PILOT, UPTOWN YOUNG; Comedy: VELVET TERMINATOR; Documentary: MOD SECRETARY, THIN SAGEBRUSH; Drama: RACER EGG, WEST LION; Family: GANDHI KWAI; Foreign: MEET CHOCOLATE; Games: ENCINO ELF, MOONWALKER FOOL; Horror: STRANGERS GRAFFITI; Music: OLEANDER CLUE; New: ENDING CROWDS, GODFATHER DIARY; Sports: HONEY TIES, IMAGE PRINCESS, LOSER HUSTLER; Travel: WORKER TARZAN"
11,12,KARL,BERRY,"Action: STAGECOACH ARMAGEDDON; Animation: DARES PLUTO, DOORS PRESIDENT, TELEMARK HEARTBREAKERS; Children: FURY MURDER; Classics: ARIZONA BANG, BOUND CHEAPER; Comedy: PERFECT GROOVE, SWEDEN SHINING; Documentary: HARDLY ROBBERS, INDEPENDENCE HOTEL, SMOKING BARBARELLA, VIRGINIAN PLUTO; Drama: BUNCH MINDS, REUNION WITCHES; Family: DATE SPEED; Foreign: ALLEY EVOLUTION, HIGHBALL POTTER; Horror: ARABIA DOGMA, BOWFINGER GABLES, MONTEREY LABYRINTH, REAP UNFAITHFUL; Music: ALONE TRIP, LUCKY FLYING; New: CLEOPATRA DEVIL, DAY UNFAITHFUL, OKLAHOMA JUMANJI; Sci-Fi: CONNECTICUT TRAMP; Sports: HOLES BRANNIGAN, NOVOCAINE FLIGHT; Travel: LEATHERNECKS DWARFS"
12,13,UMA,WOOD,"Action: ANTITRUST TOMATOES, CLUELESS BUCKET; Animation: CLASH FREDDY, INCH JET, SNOWMAN ROLLERCOASTER; Children: CABIN FLASH, LEGALLY SECRETARY, MODEL FISH, SPLENDOR PATTON; Classics: GALAXY SWEETHEARTS, STEEL SANTA; Comedy: GROUNDHOG UNCUT, LIFE TWISTED, LION UNCUT; Documentary: HOMEWARD CIDER, METAL ARMAGEDDON, WEDDING APOLLO; Drama: TORQUE BOUND; Family: LOLITA WORLD, SPLASH GUMP; Foreign: FRIDA SLIPPER; Games: GRINCH MASSAGE, MOONWALKER FOOL; Horror: MOTIONS DETAILS, ZHIVAGO CORE; Music: ALONE TRIP, REBEL AIRPORT; New: ATTRACTION NEWTON, CHINATOWN GLADIATOR; Sci-Fi: DAISY MENAGERIE, SOLDIERS EVOLUTION; Sports: DRIVER ANNIE, RIDER CADDYSHACK; Travel: BOONDOCK BALLROOM, LEATHERNECKS DWARFS"
13,14,VIVIEN,BERGEN,"Action: DRIFTER COMMANDMENTS, EXCITEMENT EVE, HILLS NEIGHBORS; Animation: CLASH FREDDY, DONNIE ALLEY; Children: GORGEOUS BINGO, POLISH BROOKLYN; Classics: LOVELY JINGLE, LOVER TRUMAN, WESTWARD SEABISCUIT; Drama: HOBBIT ALIEN; Foreign: TRAP GUYS; Games: DIRTY ACE, TYCOON GATHERING; Horror: DRUMS DYNAMITE, HIGH ENCINO, JAPANESE RUN, KENTUCKIAN GIANT, STREETCAR INTENTIONS; Music: DRIVING POLISH, ENEMY ODDS, IMPACT ALADDIN; New: SALUTE APOLLO, STOCK GLASS, VOICE PEACH; Sports: CRANES RESERVOIR, MUSSOLINI SPOILERS, SATURDAY LAMBS, TIGHTS DAWN; Travel: ITALIAN AFRICAN"
14,15,CUBA,OLIVIER,"Action: MONTEZUMA COMMAND, WEREWOLF LOLA; Animation: BORROWERS BEDAZZLED, FLYING HOOK, LUKE MUMMY, THEORY MERMAID; Children: EMPIRE MALKOVICH, MAKER GABLES, NOON PAPI; Classics: BOUND CHEAPER, HYDE DOCTOR; Comedy: KNOCK WARLOCK; Family: APACHE DIVINE, SIEGE MADRE; Foreign: HELLFIGHTERS SIERRA, KISS GLORY; Games: DIVINE RESURRECTION, VOLCANO TEXAS; Horror: EGYPT TENENBAUMS; New: BUTCH PANTHER, OKLAHOMA JUMANJI; Sci-Fi: SOLDIERS EVOLUTION, UNFORGIVEN ZOOLANDER, WONDERLAND CHRISTMAS; Sports: ROSES TREASURE; Travel: CASSIDY WYOMING, FUGITIVE MAGUIRE, SHANE DARKNESS"
15,16,FRED,COSTNER,"Action: EASY GLADIATOR, ENTRAPMENT SATISFACTION, REAR TRADING; Animation: CAROL TEXAS, INCH JET, MIRACLE VIRTUAL, MISSION ZOOLANDER, THEORY MERMAID; Children: EMPIRE MALKOVICH; Classics: MAGNIFICENT CHITTY; Documentary: BROTHERHOOD BLANKET, DELIVERANCE MULHOLLAND; Drama: DECEIVER BETRAYED, SAINTS BRIDE; Family: BLANKET BEVERLY, EARRING INSTINCT, GABLES METROPOLIS; Foreign: IMPOSSIBLE PREJUDICE; Games: HUMAN GRAFFITI; New: CLEOPATRA DEVIL, EAGLES PANKY; Sci-Fi: CONNECTICUT TRAMP, WEEKEND PERSONAL; Sports: IMAGE PRINCESS, KRAMER CHOCOLATE, SENSE GREEK; Travel: BOONDOCK BALLROOM"
16,17,HELEN,VOIGHT,"Action: SIDE ARK; Animation: CLASH FREDDY, TELEMARK HEARTBREAKERS; Children: CASPER DRAGONFLY, EMPIRE MALKOVICH, LEGALLY SECRETARY, MICROCOSMOS PARADISE, STRANGER STRANGERS, SWEETHEARTS SUSPECTS, WARLOCK WEREWOLF; Classics: IRON MOON, TADPOLE PARK; Comedy: CAPER MOTIONS, CAT CONEHEADS, JAWS HARRY; Documentary: CUPBOARD SINNERS, INDEPENDENCE HOTEL, ROAD ROXANNE; Drama: LIES TREATMENT; Family: MOVIE SHAKESPEARE; Foreign: CYCLONE FAMILY, KISS GLORY, SCISSORHANDS SLUMS, WAR NOTTING; Games: DIVINE RESURRECTION, FEVER EMPIRE; Horror: FIDELITY DEVIL, SINNERS ATLANTIS; Music: GREATEST NORTH; New: BREAKING HOME, VOICE PEACH; Sports: MUMMY CREATURES"
17,18,DAN,TORN,"Action: REAR TRADING; Animation: EARLY HOME; Children: EMPIRE MALKOVICH, TEQUILA PAST; Classics: JERK PAYCHECK, LOVELY JINGLE, SLING LUKE; Drama: CONEHEADS SMOOCHY, VIRGIN DAISY; Foreign: INNOCENT USUAL; Games: STATE WASTELAND; Music: INSIDER ARIZONA; New: CHINATOWN GLADIATOR, FLASH WARS, MASK PEACH; Sci-Fi: ATTACKS HATE, SUN CONFESSIONS; Sports: ELIZABETH SHANE, MUSSOLINI SPOILERS, TUXEDO MILE; Travel: BOILED DARES, GUMP DATE"
18,19,BOB,FAWCETT,"Action: DARN FORRESTER; Animation: DARES PLUTO, LAWLESS VISION, OSCAR GOLD; Children: CIRCUS YOUTH; Classics: DYNAMITE TARZAN; Comedy: CONTROL ANTHEM, HATE HANDICAP, SADDLE ANTITRUST; Documentary: ADAPTATION HOLES, PELICAN COMFORTS; Drama: JACKET FRISCO, SCORPION APOLLO; Family: HOMICIDE PEACH; Games: DAZED PUNK; Horror: ACE GOLDFINGER; Music: PERSONAL LADYBUGS, RUNNER MADIGAN, TAXI KICK; New: CHINATOWN GLADIATOR, JUMANJI BLADE, RUN PACIFIC; Sci-Fi: RAGING AIRPLANE; Travel: LEATHERNECKS DWARFS, SHAWSHANK BUBBLE"
19,20,LUCILLE,TRACY,"Action: REAR TRADING; Animation: DOORS PRESIDENT; Classics: HYDE DOCTOR, PAJAMA JAWBREAKER, PATIENT SISTER, WASTELAND DIVINE; Comedy: JAWS HARRY; Documentary: ACADEMY DINOSAUR, EGG IGBY, MODERN DORADO, SAGEBRUSH CLUELESS; Drama: CHITTY LOCK, GOLDFINGER SENSIBILITY, ORIENT CLOSER; Family: BEDAZZLED MARRIED, DINOSAUR SECRETARY, EARRING INSTINCT, GANDHI KWAI, KING EVOLUTION; Foreign: LOSE INCH; Horror: LOLA AGENT; Music: BANGER PINOCCHIO; New: JUNGLE CLOSER, LOVERBOY ATTACKS; Sci-Fi: CHEAPER CLYDE, COLDBLOODED DARLING, RANDOM GO, SUN CONFESSIONS; Travel: SHANGHAI TYCOON, WINDOW SIDE"
20,21,KIRSTEN,PALTROW,"Action: DRIFTER COMMANDMENTS, LORD ARIZONA; Animation: THIEF PELICAN; Comedy: CLOSER BANG, PINOCCHIO SIMON; Documentary: CHICKEN HELLFIGHTERS, KILL BROTHERHOOD, ROAD ROXANNE; Drama: CONQUERER NUTS; Family: PRIX UNDEFEATED; Foreign: AGENT TRUMAN; Games: ENCINO ELF, LADYBUGS ARMAGEDDON; Horror: PULP BEVERLY, SLEEPING SUSPECTS; Music: HANOVER GALAXY, HOME PITY, WON DARES; New: FLASH WARS, PLUTO OLEANDER, UNBREAKABLE KARATE; Sci-Fi: SILVERADO GOLDFINGER, TITANS JERK; Sports: HONEY TIES, RIVER OUTLAW; Travel: BOONDOCK BALLROOM, BORN SPINAL"
21,22,ELVIS,MARX,"Action: BAREFOOT MANCHURIAN, CADDYSHACK JEDI, SKY MIRACLE, WATERFRONT DELIVERANCE; Animation: ANACONDA CONFESSIONS, BORROWERS BEDAZZLED, GANGS PRIDE, HOOK CHARIOTS; Children: JUMPING WRATH, POLISH BROOKLYN; Classics: LOVELY JINGLE, RIGHT CRANES; Drama: CHITTY LOCK, HOBBIT ALIEN, SEATTLE EXPECATIONS; Family: ODDS BOOGIE; Games: JERICHO MULAN, ROOF CHAMPION; Horror: ALABAMA DEVIL, KENTUCKIAN GIANT, MOTIONS DETAILS; Sci-Fi: GOODFELLAS SALUTE, TROJAN TOMORROW; Sports: EVOLUTION ALTER; Travel: EXPECATIONS NATURAL, OUTLAW HANKY"
22,23,SANDRA,KILMER,"Action: BULL SHAWSHANK, DARN FORRESTER, MAGNOLIA FORRESTER; Animation: BLACKOUT PRIVATE, OZ LIAISONS, SONS INTERVIEW; Children: GORGEOUS BINGO, JUMPING WRATH, SPLENDOR PATTON, STRANGER STRANGERS; Classics: CANDIDATE PERDITION, LOVELY JINGLE; Documentary: STREAK RIDGEMONT; Drama: SAVANNAH TOWN; Family: HOCUS FRIDA; Foreign: AGENT TRUMAN, HELLFIGHTERS SIERRA, HOTEL HAPPINESS; Games: CANDLES GRAPES, STATE WASTELAND; Horror: SLEEPING SUSPECTS, STREETCAR INTENTIONS; Music: OLEANDER CLUE, PERSONAL LADYBUGS, YOUTH KICK; New: DESTINY SATURDAY, VANISHED GARDEN; Sci-Fi: DIVIDE MONSTER, GOLDMINE TYCOON, IDENTITY LOVER; Sports: ARTIST COLDBLOODED, DRIVER ANNIE, POSEIDON FOREVER, SHAKESPEARE SADDLE; Travel: CASSIDY WYOMING, SPEED SUIT, WOLVES DESIRE"
23,24,CAMERON,STREEP,"Action: CASUALTIES ENCINO, CROW GREASE; Children: LEGALLY SECRETARY; Comedy: CONNECTION MICROCOSMOS, DOOM DANCING, FREEDOM CLEOPATRA, PURE RUNNER; Documentary: ADAPTATION HOLES, COAST RAINBOW, CUPBOARD SINNERS; Drama: MOB DUFFEL, WEST LION; Family: BLUES INSTINCT, MOVIE SHAKESPEARE, SPINAL ROCKY, SPLASH GUMP; Foreign: CALENDAR GUNFIGHT, CHOCOLATE DUCK; Games: SEVEN SWARM; Horror: ELEPHANT TROJAN, PANIC CLUB; Sports: DROP WATERFRONT, INSTINCT AIRPORT; Travel: HAUNTED ANTITRUST"
24,25,KEVIN,BLOOM,"Action: AMERICAN CIRCUS, PRIMARY GLASS; Animation: DOUBLE WRATH, MASSAGE IMAGE, MISSION ZOOLANDER; Children: POLISH BROOKLYN, SABRINA MIDNIGHT; Comedy: HATE HANDICAP, SWEDEN SHINING; Drama: CONQUERER NUTS, DALMATIONS SWEDEN; Family: DATE SPEED; Foreign: FICTION CHRISTMAS; Music: BOOGIE AMELIE, HEAVENLY GUN; New: DESTINY SATURDAY, LOVERBOY ATTACKS; Sci-Fi: CITIZEN SHREK; Sports: HOLES BRANNIGAN, MUMMY CREATURES; Travel: TROUBLE DATE"
25,26,RIP,CRAWFORD,"Action: AMERICAN CIRCUS, FOOL MOCKINGBIRD, FORREST SONS, RINGS HEARTBREAKERS; Animation: DONNIE ALLEY, MASSAGE IMAGE, OSCAR GOLD; Children: HALL CASSIDY, POLISH BROOKLYN; Comedy: LONELY ELEPHANT, TRAMP OTHERS; Documentary: MADISON TRAP; Drama: CRAFT OUTFIELD, DESTINATION JERK, SAINTS BRIDE; Family: CHOCOLAT HARRY, GABLES METROPOLIS, PITTSBURGH HUNCHBACK, RANGE MOONWALKER, SIEGE MADRE; Foreign: CYCLONE FAMILY, SORORITY QUEEN; Horror: ALABAMA DEVIL, ARABIA DOGMA, TEXAS WATCH, TRAIN BUNCH; New: BOULEVARD MOB, BRANNIGAN SUNRISE, FRONTIER CABIN, OKLAHOMA JUMANJI; Sci-Fi: GUYS FALCON; Sports: SATURDAY LAMBS; Travel: BUCKET BROTHERHOOD"
26,27,JULIA,MCQUEEN,"Action: AMADEUS HOLY, MOCKINGBIRD HOLLYWOOD; Animation: SLEEPLESS MONSOON, TELEMARK HEARTBREAKERS, WONKA SEA; Children: SWEETHEARTS SUSPECTS, TIES HUNGER; Documentary: BONNIE HOLOCAUST, CIDER DESIRE, YOUNG LANGUAGE; Drama: CONEHEADS SMOOCHY, SCORPION APOLLO; Family: EFFECT GLADIATOR, GLADIATOR WESTWARD, PILOT HOOSIERS, PITTSBURGH HUNCHBACK, PRESIDENT BANG; Foreign: KISS GLORY; Horror: ARABIA DOGMA, FREDDY STORM, HIGH ENCINO, MONTEREY LABYRINTH, SPIRIT FLINTSTONES, STRANGERS GRAFFITI, TRAIN BUNCH; Music: HANOVER GALAXY, INSIDER ARIZONA, JAWBREAKER BROOKLYN, LUCKY FLYING; Sci-Fi: OPEN AFRICAN, WEEKEND PERSONAL; Sports: KRAMER CHOCOLATE; Travel: GAMES BOWFINGER"
27,28,WOODY,HOFFMAN,"Action: ENTRAPMENT SATISFACTION, MIDNIGHT WESTWARD, SHRUNK DIVINE; Animation: DUCK RACER, ROOM ROMAN, SNOWMAN ROLLERCOASTER, WAIT CIDER; Classics: ALICE FANTASIA, GILMORE BOILED, PAJAMA JAWBREAKER; Comedy: KNOCK WARLOCK; Documentary: BEACH HEARTBREAKERS, WIFE TURN; Drama: BUNCH MINDS, SHOOTIST SUPERFLY, SPICE SORORITY; Family: ATLANTIS CAUSE, PILOT HOOSIERS; Foreign: TRAP GUYS; Games: LAMBS CINCINATTI, MOONWALKER FOOL, SPY MILE; Music: BIRCH ANTITRUST, TELEGRAPH VOYAGE; New: BREAKING HOME, MAIDEN HOME, WYOMING STORM; Sci-Fi: NONE SPIKING; Sports: DURHAM PANKY, LOSER HUSTLER, NEIGHBORS CHARADE"
28,29,ALEC,WAYNE,"Action: BULL SHAWSHANK; Children: CABIN FLASH, MAGIC MALLRATS, UPTOWN YOUNG; Classics: CENTER DINOSAUR, JEOPARDY ENCINO, SUMMER SCARFACE; Comedy: FREEDOM CLEOPATRA, HUSTLER PARTY; Documentary: SMOKING BARBARELLA; Drama: BLADE POLISH, CONEHEADS SMOOCHY, ENCOUNTERS CURTAIN, VIRGIN DAISY; Family: EFFECT GLADIATOR; Foreign: FICTION CHRISTMAS; Games: OUTBREAK DIVINE; Music: CHAMBER ITALIAN, INSIDER ARIZONA; New: DESTINY SATURDAY, HOURS RAGE, MONEY HAROLD; Sci-Fi: EXPRESS LONELY, IDENTITY LOVER, REIGN GENTLEMEN; Sports: ALADDIN CALENDAR, JOON NORTHWEST, LIBERTY MAGNIFICENT; Travel: FUGITIVE MAGUIRE"
29,30,SANDRA,PECK,"Action: EXCITEMENT EVE, FIREHOUSE VIETNAM, RINGS HEARTBREAKERS, STAGECOACH ARMAGEDDON; Classics: GILBERT PELICAN; Documentary: ACADEMY DINOSAUR, VIRGINIAN PLUTO; Drama: BEETHOVEN EXORCIST; Family: BANG KWAI, DUMBO LUST; Foreign: MATRIX SNOWMAN; Horror: FAMILY SWEET; Music: SILENCE KANE; New: BIRDS PERDITION, FLASH WARS; Sci-Fi: BEVERLY OUTLAW; Sports: DUDE BLINDNESS; Travel: BOONDOCK BALLROOM, ENOUGH RAGING"
30,31,SISSY,SOBIESKI,"Action: SHRUNK DIVINE, SKY MIRACLE; Animation: TELEMARK HEARTBREAKERS; Comedy: CRAZY HOME, FERRIS MOTHER, WISDOM WORKER; Documentary: COAST RAINBOW; Drama: CHITTY LOCK, GONE TROUBLE, MOB DUFFEL, ROCKY WAR; Family: PRIX UNDEFEATED; Foreign: GREEK EVERYONE, HOOSIERS BIRDCAGE; New: CLYDE THEORY; Sci-Fi: OPEN AFRICAN; Travel: BORN SPINAL, FACTORY DRAGON"
31,32,TIM,HACKMAN,"Animation: PACKER MADIGAN; Children: UPTOWN YOUNG; Classics: LIGHTS DEER, SNATCHERS MONTEZUMA; Documentary: CUPBOARD SINNERS, DEEP CRUSADE, HOMEWARD CIDER; Drama: HAROLD FRENCH, MOB DUFFEL; Family: FEUD FROGMEN; Foreign: CALENDAR GUNFIGHT, HOOSIERS BIRDCAGE, MEET CHOCOLATE, PEARL DESTINY; Horror: BEHAVIOR RUNAWAY; Music: WIZARD COLDBLOODED; New: CHAPLIN LICENSE; Sci-Fi: FIDDLER LOST; Sports: CRUSADE HONEY, MUMMY CREATURES, PEACH INNOCENT; Travel: BOILED DARES, BUCKET BROTHERHOOD"
32,33,MILLA,PECK,"Action: BAREFOOT MANCHURIAN, DREAM PICKUP, MIDNIGHT WESTWARD; Animation: CLASH FREDDY, JUGGLER HARDLY; Children: DAUGHTER MADIGAN, ROBBERS JOON, WRONG BEHAVIOR; Classics: PREJUDICE OLEANDER; Comedy: RUSHMORE MERMAID; Documentary: RAIDERS ANTITRUST; Drama: JACKET FRISCO, NECKLACE OUTBREAK, SEATTLE EXPECATIONS; Foreign: CALENDAR GUNFIGHT; Games: FEATHERS METAL; Horror: ROCK INSTINCT, TEMPLE ATTRACTION, WATERSHIP FRONTIER; New: FATAL HAUNTED; Sci-Fi: WHISPERER GIANT; Sports: CHANCE RESURRECTION, PEACH INNOCENT; Travel: TEEN APOLLO"
33,34,AUDREY,OLIVIER,"Action: SIDE ARK; Children: STRANGER STRANGERS; Classics: LOATHING LEGALLY, VOLUME HOUSE; Comedy: CAPER MOTIONS, CONTROL ANTHEM, KNOCK WARLOCK; Documentary: FRENCH HOLIDAY, HALLOWEEN NUTS, SHIP WONDERLAND; Drama: CONEHEADS SMOOCHY; Family: ATLANTIS CAUSE; Foreign: KANE EXORCIST, USUAL UNTOUCHABLES, WHALE BIKINI; Games: HUMAN GRAFFITI; Music: DORADO NOTTING; New: BOULEVARD MOB, REDEMPTION COMFORTS, STING PERSONAL; Sports: GUNFIGHTER MUSSOLINI, PEAK FOREVER, SENSE GREEK, SQUAD FISH; Travel: CASSIDY WYOMING"
34,35,JUDY,DEAN,"Action: QUEST MUSSOLINI, RINGS HEARTBREAKERS, RUGRATS SHAKESPEARE; Animation: NASH CHOCOLAT; Documentary: MODERN DORADO; Foreign: BALLROOM MOCKINGBIRD, CYCLONE FAMILY, ROCKETEER MOTHER; Horror: ARACHNOPHOBIA ROLLERCOASTER; Sci-Fi: SOLDIERS EVOLUTION; Sports: ALADDIN CALENDAR, DROP WATERFRONT, GUNFIGHTER MUSSOLINI, MUSSOLINI SPOILERS; Travel: TROUBLE DATE"
35,36,BURT,DUKAKIS,"Action: TRUMAN CRAZY; Animation: DOUBLE WRATH, MENAGERIE RUSHMORE; Classics: JERK PAYCHECK, RIGHT CRANES; Comedy: HEAVEN FREEDOM; Documentary: HOMEWARD CIDER, INTOLERABLE INTENTIONS; Family: DINOSAUR SECRETARY, KING EVOLUTION, RANGE MOONWALKER; Foreign: ALIEN CENTER, GREEK EVERYONE, KANE EXORCIST; Games: GRINCH MASSAGE, GUN BONNIE, WANDA CHAMBER; Horror: COMMANDMENTS EXPRESS, MOTIONS DETAILS, REAP UNFAITHFUL; Music: HOME PITY; New: ENDING CROWDS, MONEY HAROLD; Sci-Fi: BLINDNESS GUN, GUYS FALCON, RANDOM GO; Sports: IMAGE PRINCESS, TALENTED HOMICIDE; Travel: VALENTINE VANISHING"
